path,final_path,source,status,issues,baseline_title,local_title,local_canonical,expected_canonical,local_h1,baseline_h1,jsonld_types
"/prodavnica/akumulatorski-alat/akumulatorska-brusilica-bosch-easysander-18v-8-solo-06033e3000","/prodavnica/akumulatorski-alat/akumulatorska-brusilica-bosch-easysander-18v-8-solo-06033e3000","sample_product","200","OK","Akumulatorska brusilica Bosch EasySander 18V-8 Solo; (06033E3000) cena | Kupovina online - Končar El","Akumulatorska brusilica Bosch EasySander 18V-8 Solo; (06033E3000) cena | Kupovina online - Končar El","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorska-brusilica-bosch-easysander-18v-8-solo-06033e3000/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorska-brusilica-bosch-easysander-18v-8-solo-06033e3000/","Akumulatorska brusilica Bosch EasySander 18V-8 Solo; (06033E3000)","Akumulatorska brusilica Bosch EasySander 18V-8 Solo; (06033E3000)","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/elektricni-alat/brusilice/slicerica-iskra-rezac-kanala-u-zidovima-1350w-ie-ru1320-125","/prodavnica/elektricni-alat/brusilice/slicerica-iskra-rezac-kanala-u-zidovima-1350w-ie-ru1320-125","sample_product","200","OK","Slicerica ISKRA rezač kanala u zidovima 1350W IE-RU1320-125 cena | Kupovina online - Končar Elektro ","Slicerica ISKRA rezač kanala u zidovima 1350W IE-RU1320-125 cena | Kupovina online - Končar Elektro ","https://koncarelektro.rs/prodavnica/elektricni-alat/brusilice/slicerica-iskra-rezac-kanala-u-zidovima-1350w-ie-ru1320-125/","https://koncarelektro.rs/prodavnica/elektricni-alat/brusilice/slicerica-iskra-rezac-kanala-u-zidovima-1350w-ie-ru1320-125/","Slicerica ISKRA rezač kanala u zidovima 1350W IE-RU1320-125","Slicerica ISKRA rezač kanala u zidovima 1350W IE-RU1320-125","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/elektricni-alat/brusilice/usisni-stitnik-gde-125-ea-s-bosch","/prodavnica/elektricni-alat/brusilice/usisni-stitnik-gde-125-ea-s-bosch","sample_product","200","OK","Usisni štitnik GDE 125 EA-S (1600A003DH) BOSCH cena | Kupovina online - Končar Elektro -trgovina ele","Usisni štitnik GDE 125 EA-S (1600A003DH) BOSCH cena | Kupovina online - Končar Elektro -trgovina ele","https://koncarelektro.rs/prodavnica/elektricni-alat/brusilice/usisni-stitnik-gde-125-ea-s-bosch/","https://koncarelektro.rs/prodavnica/elektricni-alat/brusilice/usisni-stitnik-gde-125-ea-s-bosch/","","Usisni štitnik GDE 125 EA-S (1600A003DH) BOSCH","Organization+WebSite"
"/prodavnica/elektricni-alat/stacionarna-potezna-kruzna-testera-gcm-12-sde-0601b23100-bosch","/prodavnica/elektricni-alat/stacionarna-potezna-kruzna-testera-gcm-12-sde-0601b23100-bosch","sample_product","200","OK","GCM 12 SDE Stacionarna kružna testera (0601B23100) Bosch","GCM 12 SDE Stacionarna kružna testera (0601B23100) Bosch","https://koncarelektro.rs/prodavnica/elektricni-alat/stacionarna-potezna-kruzna-testera-gcm-12-sde-0601b23100-bosch/","https://koncarelektro.rs/prodavnica/elektricni-alat/stacionarna-potezna-kruzna-testera-gcm-12-sde-0601b23100-bosch/","Stacionarna potezna kružna testera GCM 12 SDE (0601B23100) Bosch","Stacionarna potezna kružna testera GCM 12 SDE (0601B23100) Bosch","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/akumulatorski-alat/makita-lanac-za-testere-uc4020a-uc4041a-400mm-191h03-4","/prodavnica/akumulatorski-alat/makita-lanac-za-testere-uc4020a-uc4041a-400mm-191h03-4","sample_product","200","OK","191H03-4 Makita lanac za testere UC4020A, UC4041A 400mm","191H03-4 Makita lanac za testere UC4020A, UC4041A 400mm","https://koncarelektro.rs/prodavnica/akumulatorski-alat/makita-lanac-za-testere-uc4020a-uc4041a-400mm-191h03-4/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/makita-lanac-za-testere-uc4020a-uc4041a-400mm-191h03-4/","Makita lanac za testere UC4020A, UC4041A 400mm (191H03-4)","Makita lanac za testere UC4020A, UC4041A 400mm (191H03-4)","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/akumulatorski-alat/akumulatorska-led-lampa-reflektor-deadml810-makita","/prodavnica/akumulatorski-alat/akumulatorska-led-lampa-reflektor-deadml810-makita","sample_product","200","OK","DEADML810 Akumulatorska led lampa - reflektor MAKITA","DEADML810 Akumulatorska led lampa - reflektor MAKITA","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorska-led-lampa-reflektor-deadml810-makita/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorska-led-lampa-reflektor-deadml810-makita/","Akumulatorska led lampa &amp;#8211; reflektor DEADML810 MAKITA","Akumulatorska led lampa &#8211; reflektor DEADML810 MAKITA","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/akumulatorski-alat/laseri/kombinovani-laser-gcl-25-bm-1-professional-0601066b03-bosch","/prodavnica/akumulatorski-alat/laseri/kombinovani-laser-gcl-25-bm-1-professional-0601066b03-bosch","sample_product","200","OK","Kombinovani laser GCL 25 + BM 1 Professional (0601066B03) BOSCH cena | Kupovina online - Končar Elek","Kombinovani laser GCL 25 + BM 1 Professional (0601066B03) BOSCH cena | Kupovina online - Končar Elek","https://koncarelektro.rs/prodavnica/akumulatorski-alat/laseri/kombinovani-laser-gcl-25-bm-1-professional-0601066b03-bosch/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/laseri/kombinovani-laser-gcl-25-bm-1-professional-0601066b03-bosch/","Kombinovani laser GCL 25 + BM 1 Professional (0601066B03) BOSCH","Kombinovani laser GCL 25 + BM 1 Professional (0601066B03) BOSCH","BreadcrumbList+Organization+Product+WebSite"
"/prodavnica/akumulatorski-alat/laseri/kombinovani-laser-sa-zelenim-zrakom-gcl-2-15-g-nosac-rm1-bosch","/prodavnica/akumulatorski-alat/laseri/kombinovani-laser-sa-zelenim-zrakom-gcl-2-15-g-nosac-rm1-bosch","sample_product","200","OK","Kombinovani laser sa zelenim zrakom GCL 2-15 G+ nosač RM1 BOSCH (0601066J00) cena | Kupovina online ","Kombinovani laser sa zelenim zrakom GCL 2-15 G+ nosač RM1 BOSCH (0601066J00) cena | Kupovina online ","https://koncarelektro.rs/prodavnica/akumulatorski-alat/laseri/kombinovani-laser-sa-zelenim-zrakom-gcl-2-15-g-nosac-rm1-bosch/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/laseri/kombinovani-laser-sa-zelenim-zrakom-gcl-2-15-g-nosac-rm1-bosch/","","Kombinovani laser sa zelenim zrakom GCL 2-15 G+ nosač RM1 BOSCH (0601066J00)","Organization+WebSite"
"/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/akumulatorski-udarni-odvrtaci-gdr-12v-105-bosch","/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/akumulatorski-udarni-odvrtaci-gdr-12v-105-bosch","sample_product","200","OK","Akumulatorski udarni odvrtač GDR 12V-105, 2x2.0Ah (06019A6903) Bosch cena | Kupovina online - Končar","Akumulatorski udarni odvrtač GDR 12V-105, 2x2.0Ah (06019A6903) Bosch cena | Kupovina online - Končar","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/akumulatorski-udarni-odvrtaci-gdr-12v-105-bosch/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/akumulatorski-udarni-odvrtaci-gdr-12v-105-bosch/","","Akumulatorski udarni odvrtač GDR 12V-105, 2&#215;2.0Ah (06019A6903) Bosch","Organization+WebSite"
"/prodavnica/akumulatorski-alat/laseri/univerzalni-drzac-lasera-rm-3-rc-2-daljinski-upravljac-bosch","/prodavnica/akumulatorski-alat/laseri/univerzalni-drzac-lasera-rm-3-rc-2-daljinski-upravljac-bosch","sample_product","200","OK","Univerzalni držač lasera RM 3 + RC 2 daljinski upravljač BOSCH (0601092800) cena | Kupovina online -","Univerzalni držač lasera RM 3 + RC 2 daljinski upravljač BOSCH (0601092800) cena | Kupovina online -","https://koncarelektro.rs/prodavnica/akumulatorski-alat/laseri/univerzalni-drzac-lasera-rm-3-rc-2-daljinski-upravljac-bosch/","https://koncarelektro.rs/prodavnica/akumulatorski-alat/laseri/univerzalni-drzac-lasera-rm-3-rc-2-daljinski-upravljac-bosch/","","Univerzalni držač lasera RM 3 + RC 2 daljinski upravljač BOSCH (0601092800)","Organization+WebSite"
