url,type,baseline_status,pathname,audit_status,reason,detail
"https://koncarelektro.rs/prodavnica/industrijaske-masine/industrijska-oprema-industrijaske-masine/rezna-ploca-400mm-za-asfalt-i-beton/","product","200","/prodavnica/industrijaske-masine/industrijska-oprema-industrijaske-masine/rezna-ploca-400mm-za-asfalt-i-beton","ok","","rezna-ploca-400mm-za-asfalt-i-beton"
"https://koncarelektro.rs/prodavnica/ponuda/solarni-led-reflektor-lampa-lrfs6110-sa-pir-senzorom/","product","200","/prodavnica/ponuda/solarni-led-reflektor-lampa-lrfs6110-sa-pir-senzorom","ok","","solarni-led-reflektor-lampa-lrfs6110-sa-pir-senzorom"
"https://koncarelektro.rs/prodavnica/elektricni-alat/stona-kruzna-testera-tc-ts-2225-u-2200-w-4340515-einhell/","product","200","/prodavnica/elektricni-alat/stona-kruzna-testera-tc-ts-2225-u-2200-w-4340515-einhell","ok","","stona-kruzna-testera-tc-ts-2225-u-2200-w-4340515-einhell"
"https://koncarelektro.rs/prodavnica/elektricni-alat/usisivac-za-suvo-i-mokro-usisavanje-mci-5500-6081651200w-rem-power/","product","200","/prodavnica/elektricni-alat/usisivac-za-suvo-i-mokro-usisavanje-mci-5500-6081651200w-rem-power","ok","","usisivac-za-suvo-i-mokro-usisavanje-mci-5500-6081651200w-rem-power"
"https://koncarelektro.rs/prodavnica/industrijaske-masine/benzinski-reverzibilni-nabijac-sa-vibro-plocom-gcp125-1-ingco/","product","200","/prodavnica/industrijaske-masine/benzinski-reverzibilni-nabijac-sa-vibro-plocom-gcp125-1-ingco","ok","","benzinski-reverzibilni-nabijac-sa-vibro-plocom-gcp125-1-ingco"
"https://koncarelektro.rs/prodavnica/elektricni-alat/cekic-busilice-i-stemarice/cekic-busilica-sds-hr2650-makita/","product","200","/prodavnica/elektricni-alat/cekic-busilice-i-stemarice/cekic-busilica-sds-hr2650-makita","ok","","cekic-busilica-sds-hr2650-makita"
"https://koncarelektro.rs/prodavnica/kompresori-i-pneumatski-alati/pneumatski-alati-i-pribor/pneumatski-pistolj-odvrtac-comp-abac-pro-3-4-2809913102/","product","200","/prodavnica/kompresori-i-pneumatski-alati/pneumatski-alati-i-pribor/pneumatski-pistolj-odvrtac-comp-abac-pro-3-4-2809913102","ok","","pneumatski-pistolj-odvrtac-comp-abac-pro-3-4-2809913102"
"https://koncarelektro.rs/prodavnica/kompresori-i-pneumatski-alati/pneumatska-racna-abac-pro-1-4-2809913150/","product","200","/prodavnica/kompresori-i-pneumatski-alati/pneumatska-racna-abac-pro-1-4-2809913150","ok","","pneumatska-racna-abac-pro-1-4-2809913150"
"https://koncarelektro.rs/prodavnica/kompresori-i-pneumatski-alati/pneumatska-tracna-brusilica-330-10-pro-2809913250-abac/","product","200","/prodavnica/kompresori-i-pneumatski-alati/pneumatska-tracna-brusilica-330-10-pro-2809913250-abac","ok","","pneumatska-tracna-brusilica-330-10-pro-2809913250-abac"
"https://koncarelektro.rs/prodavnica/kompresori-i-pneumatski-alati/klipni-bezuljni-kompresor-montecarlo-o20p-1121360898-abac/","product","200","/prodavnica/kompresori-i-pneumatski-alati/klipni-bezuljni-kompresor-montecarlo-o20p-1121360898-abac","ok","","klipni-bezuljni-kompresor-montecarlo-o20p-1121360898-abac"
"https://koncarelektro.rs/prodavnica/ponuda/akumulatorska-grejalica-na-gas-15kw-58ge100-18v-graphite/","product","200","/prodavnica/ponuda/akumulatorska-grejalica-na-gas-15kw-58ge100-18v-graphite","ok","","akumulatorska-grejalica-na-gas-15kw-58ge100-18v-graphite"
"https://koncarelektro.rs/prodavnica/ponuda/transportni-kofer-za-alat-system-one-200-profi-239332-qbrick/","product","200","/prodavnica/ponuda/transportni-kofer-za-alat-system-one-200-profi-239332-qbrick","ok","","transportni-kofer-za-alat-system-one-200-profi-239332-qbrick"
"https://koncarelektro.rs/prodavnica/agregati/benzinski-agregati/agregat-za-struju-tc-pg-35-e5-2600-w-einhell/","product","200","/prodavnica/agregati/benzinski-agregati/agregat-za-struju-tc-pg-35-e5-2600-w-einhell","ok","","agregat-za-struju-tc-pg-35-e5-2600-w-einhell"
"https://koncarelektro.rs/prodavnica/pribor/burgije/makita-d-61092-dijamantska-kruna-za-keramiku-m14-10mm/","product","200","/prodavnica/pribor/burgije/makita-d-61092-dijamantska-kruna-za-keramiku-m14-10mm","ok","","makita-d-61092-dijamantska-kruna-za-keramiku-m14-10mm"
"https://koncarelektro.rs/prodavnica/ponuda/makita-d-44454-dijamantska-kruna-za-keramiku-m14-20mm/","product","200","/prodavnica/ponuda/makita-d-44454-dijamantska-kruna-za-keramiku-m14-20mm","ok","","makita-d-44454-dijamantska-kruna-za-keramiku-m14-20mm"
"https://koncarelektro.rs/prodavnica/pribor/burgije/makita-d-44529-dijamantska-kruna-za-keramiku-m14-38mm/","product","200","/prodavnica/pribor/burgije/makita-d-44529-dijamantska-kruna-za-keramiku-m14-38mm","ok","","makita-d-44529-dijamantska-kruna-za-keramiku-m14-38mm"
"https://koncarelektro.rs/prodavnica/kosacice-i-trimeri-dobra/oprema-za-trimere/prikljucak-kultivator-kr400mp-199183-2-makita/","product","200","/prodavnica/kosacice-i-trimeri-dobra/oprema-za-trimere/prikljucak-kultivator-kr400mp-199183-2-makita","ok","","prikljucak-kultivator-kr400mp-199183-2-makita"
"https://koncarelektro.rs/prodavnica/ponuda/akumulatorski-trimer-za-travu-dur194sfx2-1x-30-ah-makita/","product","200","/prodavnica/ponuda/akumulatorski-trimer-za-travu-dur194sfx2-1x-30-ah-makita","ok","","akumulatorski-trimer-za-travu-dur194sfx2-1x-30-ah-makita"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/akumulatorska-vibraciona-busilica-odvrtac-makita-hp488dwe-2x1-5-ah/","product","200","/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/akumulatorska-vibraciona-busilica-odvrtac-makita-hp488dwe-2x1-5-ah","ok","","akumulatorska-vibraciona-busilica-odvrtac-makita-hp488dwe-2x1-5-ah"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorski-sekac-za-beton-ce001gz01-xgt-355mm-solo-makita/","product","200","/prodavnica/akumulatorski-alat/akumulatorski-sekac-za-beton-ce001gz01-xgt-355mm-solo-makita","ok","","akumulatorski-sekac-za-beton-ce001gz01-xgt-355mm-solo-makita"
"https://koncarelektro.rs/prodavnica/agregati/benzinski-agregat-generator-gpg-6000-plus-f-f-group/","product","200","/prodavnica/agregati/benzinski-agregat-generator-gpg-6000-plus-f-f-group","ok","","benzinski-agregat-generator-gpg-6000-plus-f-f-group"
"https://koncarelektro.rs/prodavnica/elektricni-alat/ostali-elektricni-alati/makita-uh6580-elektricne-makaze-za-zivu-ogradu/","product","200","/prodavnica/elektricni-alat/ostali-elektricni-alati/makita-uh6580-elektricne-makaze-za-zivu-ogradu","ok","","makita-uh6580-elektricne-makaze-za-zivu-ogradu"
"https://koncarelektro.rs/prodavnica/elektricni-alat/testere-i-cirkulari/makita-uc3041a-elektricna-lancana-testera/","product","200","/prodavnica/elektricni-alat/testere-i-cirkulari/makita-uc3041a-elektricna-lancana-testera","ok","","makita-uc3041a-elektricna-lancana-testera"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/ostali-akomulatorski-alat/makita-tm3010cx6j-visenamenski-alat/","product","200","/prodavnica/akumulatorski-alat/ostali-akomulatorski-alat/makita-tm3010cx6j-visenamenski-alat","ok","","makita-tm3010cx6j-visenamenski-alat"
"https://koncarelektro.rs/prodavnica/elektricni-alat/brusilice/makita-sa7000c-rotaciona-brusilica-polirka-1-600w/","product","200","/prodavnica/elektricni-alat/brusilice/makita-sa7000c-rotaciona-brusilica-polirka-1-600w","ok","","makita-sa7000c-rotaciona-brusilica-polirka-1-600w"
"https://koncarelektro.rs/prodavnica/pumpe-za-vodu/potapajuce-pumpe/makita-pf0403-potopna-pumpa-za-cistu-vodu/","product","200","/prodavnica/pumpe-za-vodu/potapajuce-pumpe/makita-pf0403-potopna-pumpa-za-cistu-vodu","ok","","makita-pf0403-potopna-pumpa-za-cistu-vodu"
"https://koncarelektro.rs/prodavnica/elektricni-alat/brusilice/makita-m9001-elektricna-ugaona-brusilica-2000w-230mm/","product","200","/prodavnica/elektricni-alat/brusilice/makita-m9001-elektricna-ugaona-brusilica-2000w-230mm","ok","","makita-m9001-elektricna-ugaona-brusilica-2000w-230mm"
"https://koncarelektro.rs/prodavnica/elektricni-alat/rende-i-abrihteri-za-drvo/makita-kp312s-rende-za-grede-2-200w/","product","200","/prodavnica/elektricni-alat/rende-i-abrihteri-za-drvo/makita-kp312s-rende-za-grede-2-200w","ok","","makita-kp312s-rende-za-grede-2-200w"
"https://koncarelektro.rs/prodavnica/elektricni-alat/peraci/makita-hw1200-cistac-sa-visokim-pritiskom/","product","200","/prodavnica/elektricni-alat/peraci/makita-hw1200-cistac-sa-visokim-pritiskom","ok","","makita-hw1200-cistac-sa-visokim-pritiskom"
"https://koncarelektro.rs/prodavnica/elektricni-alat/cekic-busilice-i-stemarice/makita-hr3541fc-cekic-busilica-1-350w/","product","200","/prodavnica/elektricni-alat/cekic-busilice-i-stemarice/makita-hr3541fc-cekic-busilica-1-350w","ok","","makita-hr3541fc-cekic-busilica-1-350w"
"https://koncarelektro.rs/prodavnica/elektricni-alat/cekic-busilice-i-stemarice/makita-hr2652-cekic-busilica/","product","200","/prodavnica/elektricni-alat/cekic-busilice-i-stemarice/makita-hr2652-cekic-busilica","ok","","makita-hr2652-cekic-busilica"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/makita-hp347dwe-akumulatorska-vibraciona-busilica-odvijac-2x1-3ah/","product","200","/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/makita-hp347dwe-akumulatorska-vibraciona-busilica-odvijac-2x1-3ah","ok","","makita-hp347dwe-akumulatorska-vibraciona-busilica-odvijac-2x1-3ah"
"https://koncarelektro.rs/prodavnica/elektricni-alat/cekic-busilice-i-stemarice/makita-hm1317c-stemarica-1-510-w/","product","200","/prodavnica/elektricni-alat/cekic-busilice-i-stemarice/makita-hm1317c-stemarica-1-510-w","ok","","makita-hm1317c-stemarica-1-510-w"
"https://koncarelektro.rs/prodavnica/elektricni-alat/elektricni-ostraci-tocila/dvostrano-tocilo-makita-gb602w/","product","200","/prodavnica/elektricni-alat/elektricni-ostraci-tocila/dvostrano-tocilo-makita-gb602w","ok","","dvostrano-tocilo-makita-gb602w"
"https://koncarelektro.rs/prodavnica/elektricni-alat/brusilice/makita-ga5021-ugaona-brusilica-1-050w/","product","200","/prodavnica/elektricni-alat/brusilice/makita-ga5021-ugaona-brusilica-1-050w","ok","","makita-ga5021-ugaona-brusilica-1-050w"
"https://koncarelektro.rs/prodavnica/elektricni-alat/zavrtaci-sauberi/makita-fs2300-sauber-570w/","product","200","/prodavnica/elektricni-alat/zavrtaci-sauberi/makita-fs2300-sauber-570w","ok","","makita-fs2300-sauber-570w"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/makita-dtw1001rtj-udarni-odvrtac-2x-5-0ah/","product","200","/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/makita-dtw1001rtj-udarni-odvrtac-2x-5-0ah","ok","","makita-dtw1001rtj-udarni-odvrtac-2x-5-0ah"
"https://koncarelektro.rs/prodavnica/elektricni-alat/busilice/makita-dp4010-busilica-720w/","product","200","/prodavnica/elektricni-alat/busilice/makita-dp4010-busilica-720w","ok","","makita-dp4010-busilica-720w"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorski-setovi/makita-akumulatorska-busilica-odvrtac-df001g-ugaona-brusilica-ga005g-40v-2x40-ah-dk0124g201/","product","200","/prodavnica/akumulatorski-alat/akumulatorski-setovi/makita-akumulatorska-busilica-odvrtac-df001g-ugaona-brusilica-ga005g-40v-2x40-ah-dk0124g201","ok","","makita-akumulatorska-busilica-odvrtac-df001g-ugaona-brusilica-ga005g-40v-2x40-ah-dk0124g201"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/makita-akumulatorska-vibraciona-busilica-odvijac-dhp486rtj-18v-2k50-ah/","product","200","/prodavnica/akumulatorski-alat/akumulatorske-busilice-odvijaci/makita-akumulatorska-vibraciona-busilica-odvijac-dhp486rtj-18v-2k50-ah","ok","","makita-akumulatorska-vibraciona-busilica-odvijac-dhp486rtj-18v-2k50-ah"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/akumulatorski-ugaoni-zavrtac-makita-dfl302fz-144v/","product","200","/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/akumulatorski-ugaoni-zavrtac-makita-dfl302fz-144v","ok","","akumulatorski-ugaoni-zavrtac-makita-dfl302fz-144v"
"https://koncarelektro.rs/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/akumulatorski-ugaoni-zavrtac-makita-dfl082fz-144v/","product","200","/prodavnica/akumulatorski-alat/akumulatorski-udarni-zavrtaci/akumulatorski-ugaoni-zavrtac-makita-dfl082fz-144v","ok","","akumulatorski-ugaoni-zavrtac-makita-dfl082fz-144v"
